"siteID","Sites","Description","Soil.characteristics","Products","Economic.interests","Other.services","Hypothetical.combinations","Link","lat","lon"
58,"throughout Hungary","Wood pastures and grazed forests were traditional land use systems in Hungary, preserving a number of archive and historical sources, and providing economic and social values. Nowadays, a third of the total area of used or abandoned wood pastures are protected areas. Grazing in forests is prohibited in areas officially qualified as forests.","Rendzina and brown forest soils, sandy soils, alluvial soil","Fuelwood, fodder and wild fruits .  Shrub layer products: Wild fruits, herbs, fuelwood .","","Preserving ancient habitat type, open woodland-scape and many rare and 
protected species could be find on the wood pastures in Hungary (for example 
Pulsatilla nigricans, P. grandis, Orchis morio, Carlina acaulis, Adonis vernalis, 
Osmoderma eremita, and Upupa epops). 
Wood pastures provide the most important habitat for ancient trees.   
Cultural services Wood pasture management is both an ancient traditional land use practice and 
also a new possibility for sustainable land use management, livestock 
production and rural development. It offers important cultural services and 
creates employment for traditional herders. Therefore herders are able to 
continue their traditional livestock keeping and culture. ","","WP2_HU_Wood_pasture_systems_description.pdf",NA,NA
59," southern Transylvania, Central Romania.","Wood-pastures from this region emerged from woodland grazing which was common up to the nineteenth century. Typically these systems are pastures with scattered trees. The tree density on these pastures is ca 4-7/ha and it shows a decreasing tendency.","Brown forest soils and podzolic clay, argilo-aluvial podzolic soils with clay and alluvial regosoils. These soil types are typical for oak forests","Current use of the trees: largely as shadow for livestock and sporadically for fruits. For example we found that some persons still collect acorn from wood pastures as food supply for sheep. This activity is very rare nowadays and in many villages it disappeared. Historically the tree products regularly used by the local communities include: acorns for pigs, tree hay to complement the shortage of grass hay in extreme hot summers, pear and apple as feed for livestock as well as for brandy (a locally made alcoholic drink). Much of these tree products have been abandoned in the past half century. Several villages for example do not produce any brandy (i.e. they completely abandoned the goods produced by pear trees) and these coincides with the removal of several hundreds of pear trees from pastures. Overall, the abandonment of the traditional tree products from Transylvanian wood-pastures and the lack of any clear initiative to revive the value of trees for the local community suggest a narrowing and more specialized valuation and use of these systems. The economic valuation of the current wood pasture systems is now largely based on the herbaceous layer while the trees are in sharp decline. The CAP and national level policies also discourage the use of tree related products. Lamb and sheep (meat and milk) ","","Regulating services Services recognized by local stakeholders:  Shade for livestock (primary role, recognized by the great majority of stakeholders)  Buffering the grassland against wind and dryness (recognized by some stakeholders)  Nutrient cycling (the hollowing, dried trees release minerals) is also recognized by few farmers.  Controlling soil erosion (recognized by few stakeholders, also recognized in historical records) Regulating services are indicated from a scientific perspective but there are no experiments on this aspect from Transylvania. In conclusion, the assessment of ecosystem service type has largely been determined from local stakeholders; some of these have experience-based knowledge with the system. Habitat services and biodiversity Services recognized by stakeholders: only very few stakeholders mentioned about the natural value of scattered and especially old trees. These stakeholders are not typical for the farmer community (e.g. they have formal education and access to internet and international TV channels, and “love nature”). Scientific research highlighted the exceptional biodiversity value of wood pastures. Biodiversity potential: in an ancient oak wood-pasture from Romania of 133 hectares, there were 476 species of vascular plants, 121 species of macromycetes, 281 species of Lepidoptera, 40 species of xylophagous beetles, 27 species of nesting birds, and 38 species of mammals (Hartel et al. 2013). Wood-pastures contain more bird species and functional groups than high forests and open pastures (Hartel et al. 2014). More recent surveys carried out in a moderately intensively grazed wood-pasture (with 1.1 livestock units (LU) per hectare) revealed exceptionally diverse spider communities in such systems, with 140 species and four new species of spiders for Romania (Gallé, Szpisjak, Urák and Hartel manuscript in preparation). These findings reveal the outstanding, yet under studied biodiversity values of the traditional wood-pastures of Eastern Europe. Large, old trees: research carried out in Transylvania showed that the largest old trees from a large region are concentrated in wood-pasture systems and not in high forests. The density of large, old oaks in 25 wood-pastures ranged between 0.0085 – 1.25 trees ha-1 (Moga et al. 2016). Wetlands and wood-pastures: research showed that wood-pastures grazed with buffalo and cattle contain significantly more small wetlands than those grazed by sheep. The reason of this is that the buffalo and cattle create those disturbances which removes native vegetation, allowing the maintenance of small wetlands. By contrast, sheep avoid wet areas resulting in vegetation enrichment in wetlands. The yellow bellied toad is highly abundant in buffalo grazed wood-pastures while less abundant in sheep grazed systems (Hartel and von Wehrden 2013). Cultural services 
When wood-pastures were communally managed in this region, they had the 
following important cultural services: 
 Bringing together the local community each year e.g. for pasture 
clearance and maintenance activities. Every member of the community 
had an obligation to take part in these activities depending on their 
number and types of livestock. These activities are still remembered by 
old persons in the community. These activities could serve as good 
community organization model around pasture management. 
 Sets of rules existed regarding the use of the collapsed/fallen large old 
trees in the wood-pastures. These trees were used strictly on the 
community benefits, e.g. by local carpenters.  
 Ancient wood-pastures were arenas for cultural gatherings. We are aware 
about such gatherings in Sighisoara, Medias, Rupea and Sibiu towns. Most 
of these gatherings were cancelled in the communist regime. Some new 
initiatives exist to revive these gatherings, e.g. the ‘Breite days’ 
(Sighisoara, Mihai Eminescu Trust). ","","WP2_RO_Wood_pasture_system_description.pdf",NA,NA
60,"Sami village located at 63.5°N, 14.2°E","The Sami villages in northern Sweden combine reindeer herding with forestry over a vast area. Reindeer graze in mountains during spring and summer, then move to forested areas in winter to feed on lichens. This traditional system provides food, timber, and cultural products while supporting biodiversity and carbon storage. It is a key part of Sami culture and livelihoods, with herding managed collectively by village members.","Soil type  The area is dominated by podzols 
Soil depth Normally deep soils 
Soil texture  Sand: 40%; Silt: 48%; Clay: 3%  
Soil pH 4 – 5.3 ","","","Adaptation to reindeer husbandry promotes increased carbon storage in 
trees.  Reindeer husbandry is a strong cultural tradition in this part of Sweden. 
Hunting and fishing services are offered by Sami Village.","","WP2_SW_Reindeer_system_description.pdf",63.5,14.2
61,"","Dutch organic and free range laying hens have outside access year round. Only for a few weeks per year can weather conditions be used as a reason for keeping the pop-holes closed. More than 4 m² must be available per hen, which corresponds to 2,500 hens per hectare. There are no professional2 poultry farmers with mobile housing. Rotational use is practiced on a very small scale: it is practiced by only a minority of the farms and they only keep small parts of land temporary free of chickens, mostly to let the vegetation recover. A typical hen’s life-cycle is arriving on the laying farm when 17 to 18 weeks old, being kept inside until they lay eggs at 25 weeks and then have outside access continuously until they leave the farm at an age between 70 and 85 weeks. Depending on the farm management and the degree of cover in the range area, up to 80-90% of the hens can be seen outside, especially prior to 
sunset. However, on the majority of the farms, this will be 30-50% of the 
hens, mainly because of lack of cover. Organic laying hens have outside access 
already during rearing, from 8 weeks onwards and 1 m² per hen. With good 
cover and good weather conditions, at the end of the rearing, up to 40% of 
the young hens can be seen outside prior to sunset ","Sand","The crops will be harvested to produce hand fruit (apple and cherries) or fruit 
for juice (apple). The broiler farm with the cherry orchard sells orchard 
chickens3 (‘bongerdhoen’).  Chicken meat, eggs.","","The trees: 
 can provide shelter for the hens; 
 make the area less attractive for water birds and waders, which are 
known to be risk birds for avian influenza;  
 can reduce point load of nutrients because hens spread over a larger 
surface;  
 will increase carbon storage; 
 (in the green season) may capture dust from the poultry house, and 
 their management and the harvest are a diversification of the labour 
for (care) workers on the farm.  ","","WP5_NL_Organic_Eggs_system_description.pdf",NA,NA
62,"51.78392°N, 1.321340°W","Woodland chicken and egg systems. Sainsbury’s first developed its Woodland 
brand for its free range and SO organic eggs in 2004, with 1 pence per dozen 
eggs sold donated to the Woodland Trust. This followed farmer John 
Widdowson’s observations on how his hens preferred the shade and 
protection of trees. Sainsburys expanded the scheme to include meat birds in 
2009, with 2 pence from every chicken sold donated to the Woodland Trust. 
All the free Woodland range and organic farms must be: 
 planted with trees which cover at least 20% of the range area where 
the birds are free to roam outdoors 
 planted with a mixture of fast growing and slower native trees which 
are indigenous to the local area 
 have trees planted close to the house to encourage the hens outside 
to range 
 RSPCA Freedom Food standard approved","Clay loam","Meat, eggs","","The trees can provide shade for livestock in summer, and shelter from wind in the winter. The poultry can promote nutrient cycling and pest/weed control. Above-ground, the trees will increase carbon storage. The tree rows support functional biodiversity that regulate pollination, pest control and decomposition services. Nitrogen-fixing trees such as alder (Alnus glutinosa) can increase soil fertility. Tree species such as willow can provide additional resources for invertebrates 
such as bumblebees early in the season. The tree row represents a stable habitat so can provide shelter and resources for animals, as well as acting as 
corridors linking up other semi-natural habitat patches. These species may be 
beneficial, neutral or detrimental to provisioning services.  Introducing trees into a livestock system may increase job opportunities and 
skills with regards tree management. The landscape also changes from an 
open pastoral landscape to a partly wooded environment depending on 
design of the system. This landscape change can be both an improvement and 
degradation depending on the context and individual preferences.  ","","WP5_UK_silvopoultry_system_description.pdf",51.7839,-1.3213
63,"Veneto area","Free range pig production characteristics in Veneto area. Sows (pregnant and lactating) are kept outside in electrical fenced paddocks the whole year; sometimes also fixed net-fences are needed to prevent contacts with wild boars. Pigs have access to huts (made of fibreglass or wood), placed directly on the ground and supplied with straw or other bedding materials. Normally no heating is provided during winter for piglets. Sows are kept in a group (with one boar for natural insemination) and assigned to single paddock 2-3 weeks before farrowing; piglets are weaned at 7-9 weeks of age. However, some farms with small herds, also keep lactating sows in dynamic groups, so that piglets stay within the mother for more time 
(weaned at 10-11 weeks). Water and feed delivery is provided by pipeline or 
tractor; feed is distributed daily for pregnant group or 2-3 times a week in 
lactating sows by using specific ad libitum hopper. 
 
Growing-fattening phases of heavy pigs, is mainly concentrated between 
March and December (9-10 months); the number of pigs per group is variable 
(from 12-14 to 25 or more) and sometimes they have different starting weight 
(40 to 70 kg). Also slaughter live weight change from one farm to another 
(from 180 to 250 kg or more) depending on the final products (different type 
of fermented salami).  
 
Pigs are normally restricted and fed daily; the majority of farms use on farm 
made mix of cereals (mainly corn and barley), bran and legumes (soybeans 
cake, peas, etc.) integrated with vitamin-minerals.  
 
Paddocks are normally used for two years (in the case of sows) and cultivated 
for one or two, before pigs return on same field. Fattening fields are used in 
different ways and with several rotation methods (pigs-crops) according to 
the number of months used per year, crops or cultivation techniques on 
pasture during winter months. Usually, fields are used for 2-3 years (for 8-9 
months each year) and cultivated with cereals for two years before returning 
with pigs. In a different system pigs stay in the field from May to November 
and crops (barley or mixed barley and peas) are cultivated for the other part 
of the year. This system require a specific type of soil (preferable sandy) and a 
good farming organization for seeding-harvesting crops in a short range of 
time. 
 
The stocking rate depends on production method (conventional or organic) 
and on specific vulnerability level area towards nitrates (maximum 170 kg of 
N ha-1 from manure per year). Common stocking densities for sows are 
between 7 and 10 per ha, whereas number of growing pigs vary from 13-17 
(organic) to 20-25 animals per ha (conventional, not in vulnerable areas). ","Varied","Trees are harvested to produce wood: first or second quality poplar, 
packaging components and woodchips for energy use (sometime utilized 
within the farm as bedding-rooting material for pigpens). Pork meat and different types of fermented “salami” . Barley, triticale or mix with peas are partially harvested (early stage as silage 
in balls, late stage as grains or grazed by sows). Summer cereals are normally 
harvested for grains (on-farm used as feed for pigs). ","","The trees and bush edges can provide shade during hot summers as well as providing protection from wind in autumn-winter months. Trees and bushes can reduce the risk of nutrient leaching from dung and urine in free range pigs. 
The trees will increase carbon storage. . In the plain, agroforestry systems with free-range pig production, could 
increase biodiversity and have a positive effect on wildlife. 
Free range pig production using pasturage and tree-shrubs areas in low 
mountain valley (between 400-800 m asl) could utilize marginal or less 
productive meadows and prevent the abandon of agriculture activities in 
these areas (by offering different income source to farmers).  However more 
investigations are needed to find out medium to long-term effects of pigs 
rooting and biting on the soil biodiversity, nutrients accumulation and 
leaching and trees renovation. ","","WP5_I_Free_range_pigs_system_description.pdf",45.65,12.3155
64,"Jutland","Danish organic pig production characteristics: Pregnant and lactating sows are kept on grassland (grass clover) all year round in paddocks where they have access to insulated huts for protection. The huts are placed directly on the ground and supplied with straw. The paddocks are usually moved to a new field each spring, often in a two year crop rotation - one year with barley with an under-sown grass-ley and one year with sows on pasture. The stipulated maximum stocking rate corresponds to an estimated excretion of 140 kg N in pigs manure per ha and year (equivalent to 280 kg N ha-1 every second year). Piglets are weaned at seven weeks of age and moved to a barn with access to an outdoor concrete area until slaughter at 110 kg live weight. In Denmark two large scale pig producers have established energy crops (willow and poplar) in paddocks for lactating sows.","Podzol","The crops will be harvested to produce energy or for wood chips (e.g. for use 
as rooting material in the barns for growing-finishing pigs) . The crop are used for free-range pigs approximately every second year. In 
between the area are used for production of cereals.  Pork","","The trees can provide shade for the pigs in summer and shelter in the winter. 
The trees can reduce nutrient leaching and ammonia losses from the free
range pig production. 
The trees will increase carbon storage. Increased biodiversity and positive effect on wildlife (compared to bare 
grassland) . ","","WP5_DK_Free_range_pig_system_description.pdf",56.2639,9.5018
65,"Lower Normandy, Lorraine, Jura, 
Pyrenees, Massif Central","Ruminant systems range from systems where dairy cattle are only fed conserved forage to grassland-based systems. The role that trees can play in these systems depend on the role of grazing. As the integration of trees in ruminant systems is new, there are few data on productive ruminant systems where trees or shrubs are used as a fodder resource, fuelwood, or as source of litter or soil amendment.","Varied","Tree fodder; woodchip for firewood, litter, soil amendment; timber. The cropping system may produce grass or forage crops that can be grazed 
directly by livestock or cut to provide animal feed (silage or hay), or grains for 
concentrated or as cash crops, and straw for litter. Milk, meat ","","The trees can provide shade for livestock in summer, and shelter from wind 
and rain in the winter. They can also promote nutrient recycling, and increase 
carbon storage. They could also play a role in soil fertility thanks to 
mycorrhizae or the presence of nitrogen-fixing trees.  The tree rows may provide habitat and food sources for pest-controlling 
insects and pollinators, and may act as corridors and nesting site for wildlife. ","","WP5_FR_Ruminants_system_description.pdf",NA,NA
66,"Noordelijke Friese Wouden, Achterhoek, Maasheggen, Nisse","The trial field for fodder trees has a different design than the above mentioned traditional silvopastoral systems of the Netherlands. Instead of pastures with borders of hedgerows or wooded banks, the tree rows were planted within the pasture. To study the potential of short rotation coppice for fodder purposes, fast growing tree species were selected, which were planted in high densities in twin rows. As the particular pasture was very wet, which was problematic for grass yields and grazing, species were selected that are able to grow in wet conditions. The trees at the same time may help natural drainage. This approach is new to the Netherlands, and there is a need for demonstration systems and data on performance in order to increase awareness.","Varied","Tree fodder (leaves and twigs) 
Woodchip for bioenergy and/or mulch/compost . Grass can be grazed directly by livestock (or cut to provide animal feed, silage 
or hay). Dairy","","In winter the trial field pasture is too wet for the cows to have access. The 
trees may regulate water levels in the soil due to higher evapotranspiration 
levels. In summer the trees provide shade for the cows. Above and below 
ground, the trees can increase carbon storage. The tree rows support 
biodiversity, by contributing to the variation in landscape and vegetation and 
different habitat types. Nitrogen-fixing trees such as alder can increase soil 
fertility. Tree species such as willow can provide additional resources for invertebrates 
such as bumblebees early in the season. The tree row represents a stable 
habitat so can provide shelter and resources for animals, as well as acting as 
corridors linking up other semi-natural habitat patches. These species may be 
beneficial, neutral or detrimental to provisioning services. Introducing trees into a livestock system may increase job opportunities and 
skills with regards tree management. If fodder trees are planted on larger 
scale than this test site, they change the open landscape into a partly wooded 
with more variety. ","","WP5_NL_Ruminants_system_description.pdf",NA,NA
67,"throughout the UK","Silvopastoral systems that cultivate trees specifically for fodder include fodder bank systems, where trees and shrubs are planted at high densities and pruned regularly to maximize productivity, and alley pasture systems which further integrate livestock and tree production with rows of trees and shrubs separated by alleys of pasture, with perceived benefits to enhanced nutrient cycling and improved animal welfare (Ibrahim et al. 2005). In modern silvopastoral systems that seek to maximize resource efficiency, there is growing interest in exploiting tree fodder as an extra resource from trees planted for other purposes such as resource protection. For example, farmers in New Zealand have been exploring the value of willows and poplars planted for soil conservation to provide emergency feed during severe summer droughts (Anon. 1996). The value of tree fodder as a feed resource to buffer forage shortages is also increasingly appreciated in areas of seasonal droughts (Andrews 1998; Lefroy et al. 1992; Moore et al. 2003; Papanastasis et al. 2008b). This approach is new to the UK, and there is a need for demonstration systems and data on performance in order to increase awareness.","Varied","Woodchip for bioenergy and/or mulch/compost 
Tree fodder . Grass can be grazed directly by livestock or cut to provide animal feed (silage 
or hay).. Beef, dairy","","Regulating services The trees can provide shade for livestock in summer and shelter from wind in 
the winter. The cattle can promote nutrient cycling. Above-ground, the trees 
will increase carbon storage. The tree rows support functional biodiversity 
that regulate pollination, pest control and decomposition services. Nitrogen
fixing trees such as alder can increase soil fertility. 
Habitat services and 
biodiversity 
Tree species such as willow can provide additional resources for invertebrates 
such as bumblebees early in the season. The tree row represents a stable 
habitat so can provide shelter and resources for animals, as well as acting as 
corridors linking up other (semi)natural habitat patches. These species may be 
beneficial, neutral or detrimental to provisioning services. 
Cultural services Introducing trees into a livestock system may increase job opportunities and 
skills with regards tree management. The landscape also changes from an 
open pastoral landscape to a partly wooded environment depending on 
design of the system. This landscape change can be both an improvement and 
degradation depending on the context and individual preferences. ","","WP5_UK_silvopastoral_system_description.pdf",NA,NA
68,"Lat: 55.9593, Lng: -3.2415","100 acres of historic urban farmland, now being transformed to an agroecological farm for the benefit of local community and wildlife, by a local workers' co-operative. Tree planting programme began in December 2021. Planting for alley cropping with fruit and nut trees began in 2022. In total, nearly 12,000 trees and hedgerow saplings planted by 2024, including a community orchard, shelterbelts, broadleaf woodland and coppice woodland","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape) 
(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",55.9593,-3.2415
69,"Lat: 51.496308, Lng: -1.065096","Commercial plot of apples (18 varieties), black birch, cherry plum, field maple, hornbeam, Italian alder, pedunculate oak, whitebeam intercropped with organic vegetable crops. Organic land since 1978. Horticultural system based on green mnaures and ramia cipped wood. No animal inputs for 35 years no fertilisers of any type used. Deep SOC data collection 150 samples to 1m deep taken 2022. eDNA survey in 2022.","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

Other agroforestry products: multiple green manure species","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",51.496308,-1.065096
70,"Lat: 51.2643538794023, Lng: 0.9122098976842187","Veganic forest farm in development. Perrenial polycropping. Food forest, linear food forests, orchards, platts and vines.","drought / low water holding capacity","(Intended) use of trees:
production biofuel wood
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.2643538794023,0.912209897684219
71,"Lat: 52.245054, Lng: -0.048382","Silvoarable plot (11 ha) with 13 apple varieties, cobnuts and broadleaved windbreak rows planted in a cereal rotation. The farm trials how farming practices affect wildlife, farm business, carbon emissions and wider environmental impacts in nature friendly farming.","drought / low water holding capacity
landscape with few structures / landscaope elements","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",52.245054,-0.048382
72,"Lat: 52.532255, Lng: -0.17801980177322368","A commercial silvoarable plot with apples (for cider and juicing) grown with an organic cereal rotation.","susceptibility to erosion","(Intended) use of trees:
food production (e.g. production fruit/nut)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",52.532255,-0.178019801773224
73,"Lat: 50.870893, Lng: 2.973694","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production stemwood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",50.870893,2.973694
74,"Lat: 50.902557, Lng: 3.311339","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity","","Agroforestry Map of Europe - DigitAF",50.902557,3.311339
75,"Lat: 50.815172, Lng: 3.385199","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",50.815172,3.385199
76,"Lat: 50.944031, Lng: 3.81434","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity","","Agroforestry Map of Europe - DigitAF",50.944031,3.81434
77,"Lat: 51.035828, Lng: 3.529519","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.035828,3.529519
78,"Lat: 51.083861, Lng: 3.526138","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","","","Agroforestry Map of Europe - DigitAF",51.083861,3.526138
79,"Lat: 51.066169, Lng: 3.618401","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
Higher productivity
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.066169,3.618401
80,"Lat: 51.082033, Lng: 3.637717","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range","","Agroforestry Map of Europe - DigitAF",51.082033,3.637717
81,"Lat: 51.112937, Lng: 3.827096","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production stemwood","","Motivation/rationale for establishing or maintaining agroforestry system:
Higher productivity
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.112937,3.827096
82,"Lat: 50.93688, Lng: 4.020152","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Contribution to climate protection / resilience","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",50.93688,4.020152
83,"Lat: 50.865567, Lng: 4.208386","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.865567,4.208386
84,"Lat: 50.813563, Lng: 4.404976","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","","","Agroforestry Map of Europe - DigitAF",50.813563,4.404976
85,"Lat: 50.970895, Lng: 4.344417","Silvopastoral system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range","","Agroforestry Map of Europe - DigitAF",50.970895,4.344417
86,"Lat: 51.117244, Lng: 4.463727","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range","","Agroforestry Map of Europe - DigitAF",51.117244,4.463727
87,"Lat: 51.148985, Lng: 4.215755","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
(Intended) use of the shrubs:
food production (e.g. production fruit / nut)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",51.148985,4.215755
88,"Lat: 51.117244, Lng: 4.463727","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range","","Agroforestry Map of Europe - DigitAF",51.117244,4.463727
89,"Lat: 51.171491, Lng: 4.129852","Silvopastoral system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",51.171491,4.129852
90,"Lat: 51.203486, Lng: 4.03654","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range","","Agroforestry Map of Europe - DigitAF",51.203486,4.03654
91,"Lat: 51.222531, Lng: 4.091826","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","","","Agroforestry Map of Europe - DigitAF",51.222531,4.091826
92,"Lat: 51.204421, Lng: 4.501303","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",51.204421,4.501303
93,"Lat: 51.195585, Lng: 4.571797","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production stemwood","","Motivation/rationale for establishing or maintaining agroforestry system:
Higher productivity","","Agroforestry Map of Europe - DigitAF",51.195585,4.571797
